x, y, z, T
0.015748,0.96063,0.00477629,0.00477629
0.015748,0.968504,0.00382455,0.00382455
0.015748,0.976378,0.00287046,0.00287046
0.015748,0.984252,0.00191462,0.00191462
0.015748,0.992126,0.000957602,0.000957602
0.015748,1,0,0
0.023622,0,0,0
0.023622,0.00787402,0.0014357,0.0014357
0.023622,0.015748,0.00287051,0.00287051
0.023622,0.023622,0.00430358,0.00430358
0.023622,0.0314961,0.00573402,0.00573402
0.023622,0.0393701,0.00716095,0.00716095
0.023622,0.0472441,0.00858349,0.00858349
0.023622,0.0551181,0.0100008,0.0100008
0.023622,0.0629921,0.011412,0.011412
0.023622,0.0708661,0.0128162,0.0128162
0.023622,0.0787402,0.0142126,0.0142126
0.023622,0.0866142,0.0156002,0.0156002
0.023622,0.0944882,0.0169783,0.0169783
0.023622,0.102362,0.0183461,0.0183461
0.023622,0.110236,0.0197026,0.0197026
0.023622,0.11811,0.021047,0.021047
0.023622,0.125984,0.0223786,0.0223786
0.023622,0.133858,0.0236965,0.0236965
0.023622,0.141732,0.0249999,0.0249999
0.023622,0.149606,0.026288,0.026288
0.023622,0.15748,0.02756,0.02756
0.023622,0.165354,0.0288151,0.0288151
0.023622,0.173228,0.0300526,0.0300526
0.023622,0.181102,0.0312717,0.0312717
0.023622,0.188976,0.0324717,0.0324717
0.023622,0.19685,0.0336518,0.0336518
0.023622,0.204724,0.0348113,0.0348113
0.023622,0.212598,0.0359495,0.0359495
0.023622,0.220472,0.0370657,0.0370657
0.023622,0.228346,0.0381593,0.0381593
0.023622,0.23622,0.0392295,0.0392295
0.023622,0.244094,0.0402756,0.0402756
0.023622,0.251969,0.0412972,0.0412972
0.023622,0.259843,0.0422934,0.0422934
0.023622,0.267717,0.0432638,0.0432638
0.023622,0.275591,0.0442077,0.0442077
0.023622,0.283465,0.0451246,0.0451246
0.023622,0.291339,0.0460138,0.0460138
0.023622,0.299213,0.0468749,0.0468749
0.023622,0.307087,0.0477073,0.0477073
0.023622,0.314961,0.0485105,0.0485105
0.023622,0.322835,0.049284,0.049284
0.023622,0.330709,0.0500274,0.0500274
0.023622,0.338583,0.0507401,0.0507401
0.023622,0.346457,0.0514218,0.0514218
0.023622,0.354331,0.0520721,0.0520721
0.023622,0.362205,0.0526904,0.0526904
0.023622,0.370079,0.0532765,0.0532765
0.023622,0.377953,0.05383,0.05383
0.023622,0.385827,0.0543506,0.0543506
0.023622,0.393701,0.0548379,0.0548379
0.023622,0.401575,0.0552916,0.0552916
0.023622,0.409449,0.0557115,0.0557115
0.023622,0.417323,0.0560973,0.0560973
0.023622,0.425197,0.0564487,0.0564487
0.023622,0.433071,0.0567656,0.0567656
0.023622,0.440945,0.0570478,0.0570478
0.023622,0.448819,0.057295,0.057295
0.023622,0.456693,0.0575072,0.0575072
0.023622,0.464567,0.0576842,0.0576842
0.023622,0.472441,0.0578258,0.0578258
0.023622,0.480315,0.0579321,0.0579321
0.023622,0.488189,0.0580029,0.0580029
0.023622,0.496063,0.0580382,0.0580382
0.023622,0.503937,0.0580379,0.0580379
0.023622,0.511811,0.0580022,0.0580022
0.023622,0.519685,0.0579309,0.0579309
0.023622,0.527559,0.0578241,0.0578241
0.023622,0.535433,0.057682,0.057682
0.023622,0.543307,0.0575045,0.0575045
0.023622,0.551181,0.0572919,0.0572919
0.023622,0.559055,0.0570441,0.0570441
0.023622,0.566929,0.0567614,0.0567614
0.023622,0.574803,0.056444,0.056444
0.023622,0.582677,0.0560921,0.0560921
0.023622,0.590551,0.0557057,0.0557057
0.023622,0.598425,0.0552853,0.0552853
0.023622,0.606299,0.0548312,0.0548312
0.023622,0.614173,0.0543436,0.0543436
0.023622,0.622047,0.053823,0.053823
0.023622,0.629921,0.0532694,0.0532694
0.023622,0.637795,0.0526833,0.0526833
0.023622,0.645669,0.0520652,0.0520652
0.023622,0.653543,0.0514152,0.0514152
0.023622,0.661417,0.0507339,0.0507339
0.023622,0.669291,0.0500215,0.0500215
0.023622,0.677165,0.0492785,0.0492785
0.023622,0.685039,0.0485054,0.0485054
0.023622,0.692913,0.0477025,0.0477025
0.023622,0.700787,0.0468704,0.0468704
0.023622,0.708661,0.0460096,0.0460096
0.023622,0.716535,0.0451207,0.0451207
0.023622,0.724409,0.0442041,0.0442041
0.023622,0.732283,0.0432604,0.0432604
0.023622,0.740157,0.0422903,0.0422903
0.023622,0.748031,0.0412943,0.0412943
0.023622,0.755906,0.0402729,0.0402729
0.023622,0.76378,0.0392269,0.0392269
0.023622,0.771654,0.0381569,0.0381569
0.023622,0.779528,0.0370636,0.0370636
0.023622,0.787402,0.0359475,0.0359475
0.023622,0.795276,0.0348094,0.0348094
0.023622,0.80315,0.03365,0.03365
0.023622,0.811024,0.0324701,0.0324701
0.023622,0.818898,0.0312702,0.0312702
0.023622,0.826772,0.0300512,0.0300512
0.023622,0.834646,0.0288137,0.0288137
0.023622,0.84252,0.0275587,0.0275587
0.023622,0.850394,0.0262868,0.0262868
0.023622,0.858268,0.0249988,0.0249988
0.023622,0.866142,0.0236956,0.0236956
0.023622,0.874016,0.0223778,0.0223778
0.023622,0.88189,0.0210463,0.0210463
0.023622,0.889764,0.0197019,0.0197019
0.023622,0.897638,0.0183454,0.0183454
0.023622,0.905512,0.0169778,0.0169778
0.023622,0.913386,0.0155997,0.0155997
0.023622,0.92126,0.0142121,0.0142121
0.023622,0.929134,0.0128158,0.0128158
0.023622,0.937008,0.0114117,0.0114117
0.023622,0.944882,0.0100005,0.0100005
0.023622,0.952756,0.00858329,0.00858329
0.023622,0.96063,0.00716079,0.00716079
0.023622,0.968504,0.0057339,0.0057339
0.023622,0.976378,0.0043035,0.0043035
0.023622,0.984252,0.00287046,0.00287046
0.023622,0.992126,0.00143567,0.00143567
0.023622,1,0,0
0.0314961,0,0,0
0.0314961,0.00787402,0.00191289,0.00191289
0.0314961,0.015748,0.00382462,0.00382462
0.0314961,0.023622,0.00573401,0.00573401
0.0314961,0.0314961,0.0076399,0.0076399
0.0314961,0.0393701,0.00954111,0.00954111
0.0314961,0.0472441,0.0114365,0.0114365
0.0314961,0.0551181,0.0133249,0.0133249
0.0314961,0.0629921,0.0152051,0.0152051
0.0314961,0.0708661,0.017076,0.017076
0.0314961,0.0787402,0.0189365,0.0189365
0.0314961,0.0866142,0.0207854,0.0207854
0.0314961,0.0944882,0.0226216,0.0226216
0.0314961,0.102362,0.024444,0.024444
0.0314961,0.110236,0.0262514,0.0262514
0.0314961,0.11811,0.0280427,0.0280427
0.0314961,0.125984,0.0298169,0.0298169
0.0314961,0.133858,0.0315728,0.0315728
0.0314961,0.141732,0.0333094,0.0333094
0.0314961,0.149606,0.0350256,0.0350256
0.0314961,0.15748,0.0367204,0.0367204
0.0314961,0.165354,0.0383927,0.0383927
0.0314961,0.173228,0.0400415,0.0400415
0.0314961,0.181102,0.0416658,0.0416658
0.0314961,0.188976,0.0432647,0.0432647
0.0314961,0.19685,0.044837,0.044837
0.0314961,0.204724,0.0463819,0.0463819
0.0314961,0.212598,0.0478985,0.0478985
0.0314961,0.220472,0.0493857,0.0493857
0.0314961,0.228346,0.0508427,0.0508427
0.0314961,0.23622,0.0522686,0.0522686
0.0314961,0.244094,0.0536625,0.0536625
0.0314961,0.251969,0.0550236,0.0550236
0.0314961,0.259843,0.056351,0.056351
0.0314961,0.267717,0.0576439,0.0576439
0.0314961,0.275591,0.0589016,0.0589016
0.0314961,0.283465,0.0601232,0.0601232
0.0314961,0.291339,0.061308,0.061308
0.0314961,0.299213,0.0624553,0.0624553
0.0314961,0.307087,0.0635643,0.0635643
0.0314961,0.314961,0.0646345,0.0646345
0.0314961,0.322835,0.0656651,0.0656651
0.0314961,0.330709,0.0666556,0.0666556
0.0314961,0.338583,0.0676052,0.0676052
0.0314961,0.346457,0.0685135,0.0685135
0.0314961,0.354331,0.0693798,0.0693798
0.0314961,0.362205,0.0702037,0.0702037
0.0314961,0.370079,0.0709846,0.0709846
0.0314961,0.377953,0.0717221,0.0717221
0.0314961,0.385827,0.0724157,0.0724157
0.0314961,0.393701,0.073065,0.073065
0.0314961,0.401575,0.0736695,0.0736695
0.0314961,0.409449,0.0742289,0.0742289
0.0314961,0.417323,0.074743,0.074743
0.0314961,0.425197,0.0752112,0.0752112
0.0314961,0.433071,0.0756335,0.0756335
0.0314961,0.440945,0.0760094,0.0760094
0.0314961,0.448819,0.0763388,0.0763388
0.0314961,0.456693,0.0766215,0.0766215
0.0314961,0.464567,0.0768573,0.0768573
0.0314961,0.472441,0.0770461,0.0770461
0.0314961,0.480315,0.0771876,0.0771876
0.0314961,0.488189,0.077282,0.077282
0.0314961,0.496063,0.077329,0.077329
0.0314961,0.503937,0.0773287,0.0773287
0.0314961,0.511811,0.077281,0.077281
0.0314961,0.519685,0.077186,0.077186
0.0314961,0.527559,0.0770438,0.0770438
0.0314961,0.535433,0.0768544,0.0768544
0.0314961,0.543307,0.0766179,0.0766179
0.0314961,0.551181,0.0763346,0.0763346
0.0314961,0.559055,0.0760045,0.0760045
0.0314961,0.566929,0.0756279,0.0756279
0.0314961,0.574803,0.075205,0.075205
0.0314961,0.582677,0.074736,0.074736
0.0314961,0.590551,0.0742213,0.0742213
0.0314961,0.598425,0.0736611,0.0736611
0.0314961,0.606299,0.073056,0.073056
0.0314961,0.614173,0.0724065,0.0724065
0.0314961,0.622047,0.0717128,0.0717128
0.0314961,0.629921,0.0709752,0.0709752
0.0314961,0.637795,0.0701943,0.0701943
0.0314961,0.645669,0.0693707,0.0693707
0.0314961,0.653543,0.0685046,0.0685046
0.0314961,0.661417,0.0675969,0.0675969
0.0314961,0.669291,0.0666478,0.0666478
0.0314961,0.677165,0.0656578,0.0656578
0.0314961,0.685039,0.0646277,0.0646277
0.0314961,0.692913,0.0635579,0.0635579
0.0314961,0.700787,0.0624493,0.0624493
0.0314961,0.708661,0.0613024,0.0613024
0.0314961,0.716535,0.060118,0.060118
0.0314961,0.724409,0.0588967,0.0588967
0.0314961,0.732283,0.0576394,0.0576394
0.0314961,0.740157,0.0563468,0.0563468
0.0314961,0.748031,0.0550197,0.0550197
0.0314961,0.755906,0.0536589,0.0536589
0.0314961,0.76378,0.0522652,0.0522652
0.0314961,0.771654,0.0508396,0.0508396
0.0314961,0.779528,0.0493828,0.0493828
0.0314961,0.787402,0.0478958,0.0478958
0.0314961,0.795276,0.0463794,0.0463794
0.0314961,0.80315,0.0448347,0.0448347
0.0314961,0.811024,0.0432625,0.0432625
0.0314961,0.818898,0.0416638,0.0416638
0.0314961,0.826772,0.0400396,0.0400396
0.0314961,0.834646,0.0383909,0.0383909
0.0314961,0.84252,0.0367187,0.0367187
0.0314961,0.850394,0.0350241,0.0350241
0.0314961,0.858268,0.033308,0.033308
0.0314961,0.866142,0.0315715,0.0315715
0.0314961,0.874016,0.0298157,0.0298157
0.0314961,0.88189,0.0280416,0.0280416
0.0314961,0.889764,0.0262504,0.0262504
0.0314961,0.897638,0.0244431,0.0244431
0.0314961,0.905512,0.0226208,0.0226208
0.0314961,0.913386,0.0207848,0.0207848
0.0314961,0.92126,0.018936,0.018936
0.0314961,0.929134,0.0170756,0.0170756
0.0314961,0.937008,0.0152047,0.0152047
0.0314961,0.944882,0.0133245,0.0133245
0.0314961,0.952756,0.0114362,0.0114362
0.0314961,0.96063,0.0095409,0.0095409
0.0314961,0.968504,0.00763974,0.00763974
0.0314961,0.976378,0.0057339,0.0057339
0.0314961,0.984252,0.00382455,0.00382455
0.0314961,0.992126,0.00191286,0.00191286
0.0314961,1,0,0
0.0393701,0,0,0
0.0393701,0.00787402,0.00238892,0.00238892
0.0393701,0.015748,0.00477638,0.00477638
0.0393701,0.023622,0.00716093,0.00716093
0.0393701,0.0314961,0.0095411,0.0095411
0.0393701,0.0393701,0.0119154,0.0119154
0.0393701,0.0472441,0.0142825,0.0142825
0.0393701,0.0551181,0.0166408,0.0166408
0.0393701,0.0629921,0.0189889,0.0189889
0.0393701,0.0708661,0.0213255,0.0213255
0.0393701,0.0787402,0.0236489,0.0236489
0.0393701,0.0866142,0.025958,0.025958
0.0393701,0.0944882,0.0282511,0.0282511
0.0393701,0.102362,0.0305269,0.0305269
0.0393701,0.110236,0.0327841,0.0327841
0.0393701,0.11811,0.0350212,0.0350212
0.0393701,0.125984,0.0372368,0.0372368
0.0393701,0.133858,0.0394297,0.0394297
0.0393701,0.141732,0.0415985,0.0415985
0.0393701,0.149606,0.0437418,0.0437418
0.0393701,0.15748,0.0458583,0.0458583
0.0393701,0.165354,0.0479468,0.0479468
0.0393701,0.173228,0.0500059,0.0500059
0.0393701,0.181102,0.0520345,0.0520345
0.0393701,0.188976,0.0540312,0.0540312
0.0393701,0.19685,0.0559948,0.0559948
0.0393701,0.204724,0.0579242,0.0579242
0.0393701,0.212598,0.0598181,0.0598181
0.0393701,0.220472,0.0616754,0.0616754
0.0393701,0.228346,0.063495,0.063495
0.0393701,0.23622,0.0652758,0.0652758
0.0393701,0.244094,0.0670166,0.0670166
0.0393701,0.251969,0.0687163,0.0687163
0.0393701,0.259843,0.0703741,0.0703741
0.0393701,0.267717,0.0719887,0.0719887
0.0393701,0.275591,0.0735593,0.0735593
0.0393701,0.283465,0.0750849,0.0750849
0.0393701,0.291339,0.0765646,0.0765646
